[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/xlwt/Workbook.py first seen with mtime 1568749289.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/xlwt/ExcelFormulaLexer.py first seen with mtime 1568749289.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/apps/registry.py first seen with mtime 1571919653.404604
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/rest_framework/__init__.py first seen with mtime 1560857523.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/contrib/admin/apps.py first seen with mtime 1571919653.521152
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/contrib/sessions/base_session.py first seen with mtime 1571919654.225376
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/asyncio/sslproto.py first seen with mtime 1530070006.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/views/debug.py first seen with mtime 1571919654.45259
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/jinja2/compiler.py first seen with mtime 1553342287.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/core/checks/registry.py first seen with mtime 1571919654.350512
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/fractions.py first seen with mtime 1530070004.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/db/models/functions/window.py first seen with mtime 1571919654.402072
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/db/models/utils.py first seen with mtime 1571919654.397305
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/views/decorators/csrf.py first seen with mtime 1571919654.454231
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/rest_framework/checks.py first seen with mtime 1560857523.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site.py first seen with mtime 1530070005.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/statistics.py first seen with mtime 1530070005.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/subprocess.py first seen with mtime 1530070005.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1571919654.391331
